family	sha256	indicator
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	e9e08a225fd2b0e405fcdf941ab801a392c730b21a960012af5da583731e2586	http://www.microsoft.com0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.microsoft.com/windows0
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.w3.org/2001/XMLSchema
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	http://www.w3.org/2001/XMLSchema-instance
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkID=201218
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkID=389313
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkID=389315
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkID=389316
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=190175
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=33171
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=390638
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=517253
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=521839
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=52661
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=532389
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=55273
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?LinkId=787621
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=142185
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=144006
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=195293
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=195294
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=195295
benign	00395278372faaa6d1218598edcf71c518a25fe1294444ba925d185340669f5e	https://go.microsoft.com/fwlink/?linkid=62022
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pkiops/Docs/Repository.htm0
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pkiops/certs/Microsoft%20Time-Stamp%20PCA%202010(1).crt0
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/pkiops/crl/Microsoft%20Time-Stamp%20PCA%202010(1).crl0l
benign	4f7298e436e0ea00796682f478e873fe613c178ea502c822036bc7fba9060b62	http://www.microsoft.com/windows0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	http://www.microsoft.com0
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	1.3.6.1
benign	50037644f483dac40689833e9f4931a31ab2672f2a7754d86ffee37ddefc92be	5.5.7.3
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	64ec615c046a59c08f0ddf3fe9f93e0c9e1bed227d980628cc09600e94adcd25	http://www.microsoft.com0
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://crl.microsoft.com/pki/crl/products/MicTimStaPCA_2010-07-01.crl0Z
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/PKI/docs/CPS/default.htm0@
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/pki/certs/MicTimStaPCA_2010-07-01.crt0
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/pkiops/certs/MicWinProPCA2011_2011-10-19.crt0
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com/pkiops/crl/MicWinProPCA2011_2011-10-19.crl0a
benign	4b9ace449fc8e4a666fd7e1b650d22ec85a0dc405ddf4ba58a2b938c00cb896c	http://www.microsoft.com0
